gene,p_value,high_median_survival,low_median_survival
HEXIM1,6.839586882439089e-05,84.0,54.0
RAD54L,0.00040078882682783684,54.0,72.0
PCDHB11,0.0004453262468659761,72.0,54.0
SGK223,0.0006405518059460533,72.0,54.0
CHEK1,0.0006560311486891645,54.0,84.0
ATP1B2,0.0009338340479595349,72.0,54.0
LOC493754,0.0010503227651268605,72.0,54.0
PHYHD1,0.0010594397321317343,72.0,54.0
RNASE1,0.0010594397321317343,84.0,54.0
JMJD7-PLA2G4B,0.0010594397321317343,72.0,54.0
NIPA1,0.0010816910452061354,72.0,54.0
KCNJ18,0.0011775387576796238,54.0,72.0
PCDHB9,0.001256928745084876,72.0,54.0
PI16,0.001256928745084876,84.0,54.0
TM7SF3,0.0012655071042479169,72.0,54.0
SMARCC2,0.001410444398333018,72.0,54.0
HGSNAT,0.0014245505012008238,84.0,54.0
SGCE,0.0014836839736814497,72.0,54.0
GPX3,0.0016783200934442327,84.0,54.0
OSR1,0.0016783200934442327,72.0,54.0
ERICH1,0.0017603618878888785,78.0,54.0
LOC92249,0.0017624155910105764,72.0,54.0
GLTP,0.001762853256337683,72.0,54.0
MCM6,0.0018084751575384037,54.0,78.0
C9orf140,0.0018905877614735131,54.0,78.0
OIP5,0.0018905877614735131,54.0,84.0
CDT1,0.0018905877614735131,54.0,72.0
TMSL3,0.0018918194134800114,84.0,54.0
MSRA,0.0018918194134800114,72.0,54.0
SND1,0.0018982316974229722,54.0,78.0
PTPLAD2,0.0020033333360123464,72.0,54.0
PLK1,0.002128488796198247,54.0,78.0
CDC20,0.002128488796198247,54.0,72.0
ORC1,0.002128488796198247,54.0,78.0
FOLH1,0.002128488796198247,54.0,72.0
RBMS2,0.0022142965962845913,84.0,54.0
SLC27A2,0.002354121435661968,63.0,84.0
SKA3,0.0024931708294186517,54.0,72.0
DIAPH3,0.0024931708294186517,54.0,72.0
RRM2,0.0024931708294186517,54.0,78.0
C12orf48,0.0024931708294186517,54.0,78.0
ARHGAP11A,0.0024931708294186517,54.0,84.0
CKAP2L,0.0024931708294186517,54.0,78.0
ERO1L,0.0024931708294186517,54.0,84.0
ETFDH,0.0025289389300132584,72.0,63.0
LRRFIP2,0.0025801644183728995,72.0,54.0
MTHFD2,0.0025914113856659797,54.0,84.0
CNTFR,0.002614201081476486,72.0,54.0
E2F8,0.0026296654791458035,54.0,84.0
ANGEL1,0.0026296654791458035,54.0,72.0
CDC6,0.0026296654791458035,54.0,78.0
LIPT1,0.0027955181395131054,72.0,63.0
NDC80,0.002907050648379027,54.0,78.0
XPO7,0.002995470853248016,72.0,63.0
PCDHB16,0.0030392971713545094,72.0,54.0
TK1,0.00307100029532038,54.0,72.0
ECD,0.0033292778838111704,72.0,63.0
CCNE1,0.0035704505166399354,54.0,78.0
EIF2S1,0.0035942954198530394,54.0,84.0
CDCA5,0.0036336843378988026,63.0,72.0
SFTPB,0.0036775458729016927,72.0,63.0
C5orf28,0.003700629149574231,84.0,63.0
UBXN8,0.003925213091471086,72.0,63.0
ATAD3C,0.004041344669491017,72.0,63.0
C1orf101,0.004091910274222696,72.0,63.0
SLC26A9,0.004091910274222696,72.0,63.0
IRX2,0.004137080166061045,72.0,63.0
CLSPN,0.004214213970432591,63.0,72.0
KIAA1377,0.004495148061451236,72.0,63.0
AHSA1,0.004535466790023981,72.0,72.0
PRDX4,0.004604515048427349,54.0,84.0
PPL,0.0047499445414721534,72.0,63.0
PCDHB15,0.0047499445414721534,72.0,63.0
ABCA11P,0.0047991906098130786,72.0,63.0
LITAF,0.004821350806132357,72.0,63.0
ANKRD40,0.004970642884197467,72.0,63.0
PTPDC1,0.005022008198504018,72.0,63.0
SUSD2,0.005022008198504018,72.0,63.0
EPB41L4A,0.005211280247573444,84.0,63.0
TMEM130,0.005211280247573444,84.0,63.0
EVPLL,0.005251097567018786,72.0,63.0
NTS,0.005293681896053195,72.0,63.0
TMEM43,0.005293681896053195,72.0,63.0
CATSPER2,0.005348102831682888,72.0,63.0
HTATSF1,0.005448233739485645,72.0,63.0
LFNG,0.005494129407031315,72.0,63.0
WDR13,0.005557431444627483,72.0,63.0
PLA2G10,0.005593425941736169,72.0,63.0
FAM149B1,0.005593425941736169,72.0,63.0
ACBD4,0.005593425941736169,72.0,63.0
DSCC1,0.005688776610447945,63.0,72.0
TM4SF1,0.005801229453353059,84.0,63.0
ICAM4,0.005811420331385246,84.0,63.0
PLXNB2,0.005811420331385246,72.0,63.0
SIN3A,0.005811420331385246,72.0,63.0
RGN,0.005811420331385246,72.0,63.0
POGZ,0.00586021664145448,84.0,63.0
ASAH1,0.00586021664145448,84.0,63.0
MICB,0.005911368794620951,72.0,72.0
SLC25A14,0.006078070830806257,72.0,63.0
PACSIN2,0.0061233173500426985,72.0,63.0
NR1H3,0.0061920060416197666,72.0,72.0
PHF15,0.006384413165201726,72.0,63.0
CCND3,0.006461241130677343,72.0,63.0
THOP1,0.006468430551462842,72.0,84.0
IDS,0.006696973823057822,72.0,63.0
HSPB3,0.0067370003338396,72.0,54.0
PCDHB7,0.006765429275874894,72.0,63.0
DCTN1,0.006804226606903789,72.0,63.0
ADAM9,0.0068571760158637465,84.0,63.0
PLA2G4B,0.007064427762661672,72.0,63.0
WNT5A,0.007064427762661672,72.0,63.0
LOC653113,0.007116772807766246,72.0,63.0
KCNJ2,0.007123893836126766,72.0,72.0
BNIPL,0.007163119563759769,72.0,63.0
BAHD1,0.007163119563759769,72.0,63.0
C19orf48,0.007183151765863973,72.0,72.0
FAM64A,0.007183151765863973,72.0,72.0
PKMYT1,0.007183151765863973,72.0,78.0
GINS2,0.007183151765863973,72.0,72.0
PEBP1,0.007433129078858101,72.0,63.0
F8,0.007433129078858101,72.0,63.0
DES,0.007433129078858101,84.0,63.0
FBP1,0.007477274069187659,72.0,63.0
TNFRSF10B,0.0075084310483716854,72.0,63.0
PHLDA3,0.0075084310483716854,72.0,63.0
SLC9A3R2,0.007778604515554397,84.0,63.0
PSMB5,0.007829742134345308,72.0,72.0
YPEL5,0.007836259449056112,72.0,63.0
CAV2,0.007836259449056112,84.0,63.0
SLC48A1,0.007836259449056112,72.0,63.0
TRIP13,0.00788900288593079,72.0,78.0
C14orf142,0.00788900288593079,72.0,78.0
MELK,0.007954288629828218,72.0,72.0
MMP28,0.008227038465395955,72.0,63.0
ZHX1-C8ORF76,0.008265836779310544,72.0,72.0
BUB1B,0.008265836779310544,72.0,78.0
MYBL2,0.008265836779310544,72.0,72.0
CCNB2,0.008265836779310544,72.0,78.0
BUB1,0.008265836779310544,72.0,72.0
C8orf76,0.008265836779310544,72.0,72.0
MKI67,0.008265836779310544,72.0,78.0
FLVCR1,0.008295156579990214,72.0,84.0
NOL7,0.0083202857247961,72.0,72.0
LOC100129480,0.008582302779067802,72.0,63.0
PPP1R3G,0.00860334793888199,72.0,84.0
C2orf79,0.008668186232598522,72.0,63.0
RANGAP1,0.008675391580692839,72.0,72.0
KPNA2,0.008675391580692839,72.0,72.0
LOC730101,0.008712637890025967,72.0,84.0
SLC1A4,0.008784372731704534,72.0,72.0
TBX4,0.008988733702333485,72.0,63.0
UQCRFS1,0.008999227302604652,72.0,84.0
BTN2A3,0.009047647206768983,72.0,72.0
SSB,0.009047647206768983,72.0,78.0
SLC12A7,0.009063647462969901,72.0,63.0
SPC24,0.0091377960265318,72.0,78.0
CDC45,0.0091377960265318,72.0,72.0
CENPI,0.0091377960265318,72.0,72.0
KIF2C,0.0091377960265318,72.0,72.0
ASF1B,0.0091377960265318,72.0,72.0
AURKB,0.0091377960265318,72.0,72.0
TTK,0.0091377960265318,72.0,78.0
EPR1,0.0091377960265318,72.0,72.0
CDCA8,0.0091377960265318,72.0,72.0
DLGAP5,0.0091377960265318,72.0,78.0
NCAPH,0.0091377960265318,72.0,72.0
MCM2,0.0091377960265318,72.0,72.0
KIFC1,0.0091377960265318,72.0,78.0
BIRC5,0.0091377960265318,72.0,72.0
EXO1,0.0091377960265318,72.0,72.0
GTSE1,0.0091377960265318,72.0,72.0
TPX2,0.0091377960265318,72.0,72.0
NEK2,0.0091377960265318,72.0,72.0
TMEM52,0.009178766076083375,72.0,72.0
RAMP2,0.009412600122445247,72.0,63.0
DNAJB1,0.009446587274750977,72.0,63.0
KIF11,0.009473915657397448,72.0,78.0
